Distance,Diameter,Radius,FFR,Text File Input
0,3.16413,1.582065,0.79,0 1.582065 0
0.0178619,3.16506,1.58253,,0.0178619 1.58253 0
0.121403,3.176,1.588,,0.121403 1.588 0
0.208624,3.18914,1.59457,,0.208624 1.59457 0
0.238848,3.194,1.597,,0.238848 1.597 0
0.308827,3.20517,1.602585,,0.308827 1.602585 0
0.31438,3.20601,1.603005,,0.31438 1.603005 0
0.346404,3.20987,1.604935,,0.346404 1.604935 0
0.36563,3.21182,1.60591,,0.36563 1.60591 0
0.36925,3.21218,1.60609,,0.36925 1.60609 0
0.439434,3.21609,1.608045,,0.439434 1.608045 0
0.450911,3.21682,1.60841,,0.450911 1.60841 0
0.465602,3.21729,1.608645,,0.465602 1.608645 0
0.509487,3.21662,1.60831,,0.509487 1.60831 0
0.548136,3.2146,1.6073,,0.548136 1.6073 0
0.564717,3.21303,1.606515,,0.564717 1.606515 0
0.602097,3.20842,1.60421,,0.602097 1.60421 0
0.739612,3.18855,1.594275,,0.739612 1.594275 0
0.76716,3.18708,1.59354,,0.76716 1.59354 0
0.773116,3.18692,1.59346,,0.773116 1.59346 0
0.835396,3.17954,1.58977,,0.835396 1.58977 0
0.865891,3.17285,1.586425,,0.865891 1.586425 0
0.924342,3.15897,1.579485,,0.924342 1.579485 0
1.16844,3.11876,1.55938,,1.16844 1.55938 0
1.25359,3.11135,1.555675,,1.25359 1.555675 0
1.2857,3.10727,1.553635,,1.2857 1.553635 0
1.4123,3.09781,1.548905,,1.4123 1.548905 0
1.45846,3.09635,1.548175,,1.45846 1.548175 0
1.57281,3.09304,1.54652,,1.57281 1.54652 0
1.66963,3.09734,1.54867,,1.66963 1.54867 0
1.71052,3.0979,1.54895,,1.71052 1.54895 0
1.72613,3.09784,1.54892,,1.72613 1.54892 0
1.75756,3.09745,1.548725,,1.75756 1.548725 0
1.95957,3.10145,1.550725,,1.95957 1.550725 0
2.00096,3.10387,1.551935,,2.00096 1.551935 0
2.01694,3.10402,1.55201,,2.01694 1.55201 0
2.07411,3.10114,1.55057,,2.07411 1.55057 0
2.09405,3.0997,1.54985,,2.09405 1.54985 0
2.27541,3.09488,1.54744,,2.27541 1.54744 0
2.30646,3.09486,1.54743,,2.30646 1.54743 0
2.312,3.0948,1.5474,,2.312 1.5474 0
2.39852,3.09342,1.54671,,2.39852 1.54671 0
2.44844,3.09245,1.546225,,2.44844 1.546225 0
2.47038,3.09162,1.54581,,2.47038 1.54581 0
2.54573,3.08711,1.543555,,2.54573 1.543555 0
2.64668,3.08217,1.541085,,2.64668 1.541085 0
2.69214,3.07975,1.539875,,2.69214 1.539875 0
2.73818,3.07599,1.537995,,2.73818 1.537995 0
2.77665,3.07296,1.53648,,2.77665 1.53648 0
2.78359,3.07236,1.53618,,2.78359 1.53618 0
2.79168,3.07163,1.535815,,2.79168 1.535815 0
2.79891,3.07078,1.53539,,2.79891 1.53539 0
3.00878,3.04163,1.520815,,3.00878 1.520815 0
3.07064,3.03678,1.51839,,3.07064 1.51839 0
3.07084,3.03677,1.518385,,3.07084 1.518385 0
3.07927,3.03603,1.518015,,3.07927 1.518015 0
3.16626,3.02688,1.51344,,3.16626 1.51344 0
3.18826,3.02253,1.511265,,3.18826 1.511265 0
3.37071,2.99392,1.49696,,3.37071 1.49696 0
3.42454,2.98771,1.493855,,3.42454 1.493855 0
3.45767,2.98337,1.491685,,3.45767 1.491685 0
3.46565,2.982,1.491,,3.46565 1.491 0
3.53084,2.96732,1.48366,,3.53084 1.48366 0
3.53105,2.96727,1.483635,,3.53105 1.483635 0
3.54857,2.96316,1.48158,,3.54857 1.48158 0
3.57478,2.95691,1.478455,,3.57478 1.478455 0
3.6634,2.93084,1.46542,,3.6634 1.46542 0
3.75499,2.90848,1.45424,,3.75499 1.45424 0
3.75501,2.90848,1.45424,,3.75501 1.45424 0
3.7573,2.90784,1.45392,,3.7573 1.45392 0
3.86043,2.87966,1.43983,,3.86043 1.43983 0
3.96938,2.85052,1.42526,,3.96938 1.42526 0
4.00163,2.8432,1.4216,,4.00163 1.4216 0
4.00924,2.84092,1.42046,,4.00924 1.42046 0
4.09273,2.81811,1.409055,,4.09273 1.409055 0
4.10481,2.81514,1.40757,,4.10481 1.40757 0
4.14701,2.80517,1.402585,,4.14701 1.402585 0
4.22807,2.78393,1.391965,,4.22807 1.391965 0
4.32413,2.76428,1.38214,,4.32413 1.38214 0
4.32543,2.76402,1.38201,,4.32543 1.38201 0
4.43829,2.74055,1.370275,,4.43829 1.370275 0
4.44342,2.73974,1.36987,,4.44342 1.36987 0
4.50151,2.7287,1.36435,,4.50151 1.36435 0
4.62418,2.71296,1.35648,,4.62418 1.35648 0
4.66656,2.71062,1.35531,,4.66656 1.35531 0
4.69051,2.70856,1.35428,,4.69051 1.35428 0
4.70877,2.70652,1.35326,,4.70877 1.35326 0
4.75608,2.70135,1.350675,,4.75608 1.350675 0
4.79708,2.69374,1.34687,,4.79708 1.34687 0
4.87538,2.68191,1.340955,,4.87538 1.340955 0
4.92394,2.67464,1.33732,,4.92394 1.33732 0
4.93554,2.67285,1.336425,,4.93554 1.336425 0
5.0098,2.65764,1.32882,,5.0098 1.32882 0
5.03452,2.6531,1.32655,,5.03452 1.32655 0
5.07802,2.64208,1.32104,,5.07802 1.32104 0
5.07812,2.64206,1.32103,,5.07812 1.32103 0
5.10091,2.63708,1.31854,,5.10091 1.31854 0
5.10101,2.63706,1.31853,,5.10101 1.31853 0
5.11243,2.6342,1.3171,,5.11243 1.3171 0
5.14372,2.62605,1.313025,,5.14372 1.313025 0
5.16398,2.61968,1.30984,,5.16398 1.30984 0
5.16878,2.61804,1.30902,,5.16878 1.30902 0
5.22499,2.59597,1.297985,,5.22499 1.297985 0
5.23532,2.59141,1.295705,,5.23532 1.295705 0
5.30477,2.55854,1.27927,,5.30477 1.27927 0
5.31522,2.55335,1.276675,,5.31522 1.276675 0
5.40494,2.50975,1.254875,,5.40494 1.254875 0
5.41884,2.50356,1.25178,,5.41884 1.25178 0
5.42125,2.50238,1.25119,,5.42125 1.25119 0
5.4849,2.46901,1.234505,,5.4849 1.234505 0
5.5,2.46133,1.230665,,5.5 1.230665 0
5.50085,2.46087,1.230435,,5.50085 1.230435 0
5.53172,2.444,1.222,,5.53172 1.222 0
5.54854,2.43403,1.217015,,5.54854 1.217015 0
5.58955,2.41008,1.20504,,5.58955 1.20504 0
5.62651,2.38831,1.194155,,5.62651 1.194155 0
5.65426,2.37197,1.185985,,5.65426 1.185985 0
5.68936,2.35107,1.175535,,5.68936 1.175535 0
5.71233,2.33681,1.168405,,5.71233 1.168405 0
5.77374,2.29926,1.14963,,5.77374 1.14963 0
5.78792,2.29035,1.145175,,5.78792 1.145175 0
5.85336,2.24998,1.12499,,5.85336 1.12499 0
5.85677,2.24784,1.12392,,5.85677 1.12392 0
5.92391,2.20601,1.103005,,5.92391 1.103005 0
6.00865,2.15731,1.078655,,6.00865 1.078655 0
6.00886,2.1572,1.0786,,6.00886 1.0786 0
6.01697,2.15279,1.076395,,6.01697 1.076395 0
6.07397,2.12102,1.06051,,6.07397 1.06051 0
6.08005,2.11757,1.058785,,6.08005 1.058785 0
6.09799,2.10725,1.053625,,6.09799 1.053625 0
6.10469,2.10339,1.051695,,6.10469 1.051695 0
6.14086,2.08326,1.04163,,6.14086 1.04163 0
6.16571,2.07021,1.035105,,6.16571 1.035105 0
6.16707,2.06941,1.034705,,6.16707 1.034705 0
6.20033,2.05023,1.025115,,6.20033 1.025115 0
6.23568,2.03087,1.015435,,6.23568 1.015435 0
6.25614,2.02,1.01,,6.25614 1.01 0
6.29013,2.00037,1.000185,,6.29013 1.000185 0
6.3606,1.9631,0.98155,,6.3606 0.98155 0
6.36906,1.95907,0.979535,,6.36906 0.979535 0
6.39701,1.94552,0.97276,,6.39701 0.97276 0
6.39819,1.94494,0.97247,,6.39819 0.97247 0
6.43283,1.92789,0.963945,,6.43283 0.963945 0
6.44403,1.92206,0.96103,,6.44403 0.96103 0
6.4988,1.89566,0.94783,,6.4988 0.94783 0
6.50686,1.89209,0.946045,,6.50686 0.946045 0
6.55013,1.87144,0.93572,,6.55013 0.93572 0
6.55292,1.87019,0.935095,,6.55292 0.935095 0
6.56969,1.86257,0.931285,,6.56969 0.931285 0
6.61228,1.84323,0.921615,,6.61228 0.921615 0
6.67059,1.81853,0.909265,,6.67059 0.909265 0
6.718,1.79807,0.899035,,6.718 0.899035 0
6.73136,1.79211,0.896055,,6.73136 0.896055 0
6.82171,1.75668,0.87834,,6.82171 0.87834 0
6.82991,1.75405,0.877025,,6.82991 0.877025 0
6.88607,1.7349,0.86745,,6.88607 0.86745 0
6.89264,1.7327,0.86635,,6.89264 0.86635 0
6.90261,1.72945,0.864725,,6.90261 0.864725 0
6.98284,1.70483,0.852415,,6.98284 0.852415 0
6.98712,1.70362,0.85181,,6.98712 0.85181 0
6.99971,1.70003,0.850015,,6.99971 0.850015 0
7.0439,1.68686,0.84343,,7.0439 0.84343 0
7.09208,1.67328,0.83664,,7.09208 0.83664 0
7.16993,1.65523,0.827615,,7.16993 0.827615 0
7.22379,1.64499,0.822495,,7.22379 0.822495 0
7.22399,1.64496,0.82248,,7.22399 0.82248 0
7.23595,1.6428,0.8214,,7.23595 0.8214 0
7.30491,1.62926,0.81463,,7.30491 0.81463 0
7.32588,1.62632,0.81316,,7.32588 0.81316 0
7.33672,1.62386,0.81193,,7.33672 0.81193 0
7.38844,1.61377,0.806885,,7.38844 0.806885 0
7.38859,1.61374,0.80687,,7.38859 0.80687 0
7.54987,1.59989,0.799945,,7.54987 0.799945 0
7.57197,1.60091,0.800455,,7.57197 0.800455 0
7.58523,1.60099,0.800495,,7.58523 0.800495 0
7.59493,1.6007,0.80035,,7.59493 0.80035 0
7.61296,1.59923,0.799615,,7.61296 0.799615 0
7.62997,1.59747,0.798735,,7.62997 0.798735 0
7.68235,1.59307,0.796535,,7.68235 0.796535 0
7.71293,1.5923,0.79615,,7.71293 0.79615 0
7.74577,1.59175,0.795875,,7.74577 0.795875 0
7.80426,1.59589,0.797945,,7.80426 0.797945 0
7.80847,1.59617,0.798085,,7.80847 0.798085 0
7.84603,1.59828,0.79914,,7.84603 0.79914 0
7.8677,1.59955,0.799775,,7.8677 0.799775 0
7.87098,1.59964,0.79982,,7.87098 0.79982 0
7.87782,1.59975,0.799875,,7.87782 0.799875 0
7.89312,1.59934,0.79967,,7.89312 0.79967 0
7.93805,1.59924,0.79962,,7.93805 0.79962 0
7.96437,1.6001,0.80005,,7.96437 0.80005 0
7.96979,1.60037,0.800185,,7.96979 0.800185 0
7.98651,1.6012,0.8006,,7.98651 0.8006 0
7.98653,1.60121,0.800605,,7.98653 0.800605 0
7.99205,1.60147,0.800735,,7.99205 0.800735 0
7.99311,1.60158,0.80079,,7.99311 0.80079 0
8.02995,1.60538,0.80269,,8.02995 0.80269 0
8.05285,1.609,0.8045,,8.05285 0.8045 0
8.06717,1.61119,0.805595,,8.06717 0.805595 0
8.07647,1.61267,0.806335,,8.07647 0.806335 0
8.10234,1.61672,0.80836,,8.10234 0.80836 0
8.14187,1.62229,0.811145,,8.14187 0.811145 0
8.14255,1.62237,0.811185,,8.14255 0.811185 0
8.1811,1.62633,0.813165,,8.1811 0.813165 0
8.18585,1.62687,0.813435,,8.18585 0.813435 0
8.22365,1.62991,0.814955,,8.22365 0.814955 0
8.22724,1.63022,0.81511,,8.22724 0.81511 0
8.23286,1.63067,0.815335,,8.23286 0.815335 0
8.24739,1.63148,0.81574,,8.24739 0.81574 0
8.3099,1.63917,0.819585,,8.3099 0.819585 0
8.33968,1.64469,0.822345,,8.33968 0.822345 0
8.35812,1.648,0.824,,8.35812 0.824 0
8.37782,1.65135,0.825675,,8.37782 0.825675 0
8.38006,1.65167,0.825835,,8.38006 0.825835 0
8.39729,1.65348,0.82674,,8.39729 0.82674 0
8.42958,1.65607,0.828035,,8.42958 0.828035 0
8.43651,1.65671,0.828355,,8.43651 0.828355 0
8.46924,1.65864,0.82932,,8.46924 0.82932 0
8.51799,1.66335,0.831675,,8.51799 0.831675 0
8.55968,1.66905,0.834525,,8.55968 0.834525 0
8.57172,1.671,0.8355,,8.57172 0.8355 0
8.58291,1.6725,0.83625,,8.58291 0.83625 0
8.58784,1.67325,0.836625,,8.58784 0.836625 0
8.60133,1.67534,0.83767,,8.60133 0.83767 0
8.60185,1.6754,0.8377,,8.60185 0.8377 0
8.60615,1.67573,0.837865,,8.60615 0.837865 0
8.61086,1.67601,0.838005,,8.61086 0.838005 0
8.62384,1.67653,0.838265,,8.62384 0.838265 0
8.6733,1.6794,0.8397,,8.6733 0.8397 0
8.7088,1.68329,0.841645,,8.7088 0.841645 0
8.72615,1.68558,0.84279,,8.72615 0.84279 0
8.75282,1.68897,0.844485,,8.75282 0.844485 0
8.76738,1.69034,0.84517,,8.76738 0.84517 0
8.79821,1.69333,0.846665,,8.79821 0.846665 0
8.80343,1.69377,0.846885,,8.80343 0.846885 0
8.85045,1.69649,0.848245,,8.85045 0.848245 0
8.86143,1.69714,0.84857,,8.86143 0.84857 0
8.86283,1.69721,0.848605,,8.86283 0.848605 0
8.88952,1.69839,0.849195,,8.88952 0.849195 0
8.93887,1.69431,0.847155,,8.93887 0.847155 0
8.99771,1.69138,0.84569,,8.99771 0.84569 0
9.00357,1.69115,0.845575,,9.00357 0.845575 0
9.0605,1.69126,0.84563,,9.0605 0.84563 0
9.06181,1.69121,0.845605,,9.06181 0.845605 0
9.12342,1.68832,0.84416,,9.12342 0.84416 0
9.15226,1.68584,0.84292,,9.15226 0.84292 0
9.2165,1.68374,0.84187,,9.2165 0.84187 0
9.22675,1.6841,0.84205,,9.22675 0.84205 0
9.23156,1.68406,0.84203,,9.23156 0.84203 0
9.26943,1.68336,0.84168,,9.26943 0.84168 0
9.29077,1.6829,0.84145,,9.29077 0.84145 0
9.29078,1.6829,0.84145,,9.29078 0.84145 0
9.29091,1.6829,0.84145,,9.29091 0.84145 0
9.33911,1.68089,0.840445,,9.33911 0.840445 0
9.35326,1.68051,0.840255,,9.35326 0.840255 0
9.40719,1.67896,0.83948,,9.40719 0.83948 0
9.43346,1.67859,0.839295,,9.43346 0.839295 0
9.44678,1.67868,0.83934,,9.44678 0.83934 0
9.48394,1.67811,0.839055,,9.48394 0.839055 0
9.48464,1.67807,0.839035,,9.48464 0.839035 0
9.53664,1.67591,0.837955,,9.53664 0.837955 0
9.6149,1.6634,0.8317,,9.6149 0.8317 0
9.68343,1.65821,0.829105,,9.68343 0.829105 0
9.69747,1.65752,0.82876,,9.69747 0.82876 0
9.71353,1.65647,0.828235,,9.71353 0.828235 0
9.72927,1.65576,0.82788,,9.72927 0.82788 0
9.7397,1.65494,0.82747,,9.7397 0.82747 0
9.78536,1.64926,0.82463,,9.78536 0.82463 0
9.78546,1.64925,0.824625,,9.78546 0.824625 0
9.79769,1.64776,0.82388,,9.79769 0.82388 0
9.83949,1.64313,0.821565,,9.83949 0.821565 0
9.85621,1.64033,0.820165,,9.85621 0.820165 0
9.88212,1.63528,0.81764,,9.88212 0.81764 0
9.88377,1.63494,0.81747,,9.88377 0.81747 0
9.91299,1.62863,0.814315,,9.91299 0.814315 0
9.974,1.61509,0.807545,,9.974 0.807545 0
10.0343,1.60204,0.80102,,10.0343 0.80102 0
10.0373,1.60149,0.800745,,10.0373 0.800745 0
10.1048,1.59036,0.79518,,10.1048 0.79518 0
10.1133,1.58843,0.794215,,10.1133 0.794215 0
10.1691,1.57672,0.78836,,10.1691 0.78836 0
10.1871,1.57282,0.78641,,10.1871 0.78641 0
10.236,1.56333,0.781665,,10.236 0.781665 0
10.2907,1.55519,0.777595,,10.2907 0.777595 0
10.3142,1.55182,0.77591,,10.3142 0.77591 0
10.3162,1.55146,0.77573,,10.3162 0.77573 0
10.3228,1.55008,0.77504,,10.3228 0.77504 0
10.3588,1.54102,0.77051,,10.3588 0.77051 0
10.3589,1.54099,0.770495,,10.3589 0.770495 0
10.4079,1.52441,0.762205,,10.4079 0.762205 0
10.408,1.52438,0.76219,,10.408 0.76219 0
10.4646,1.50585,0.752925,,10.4646 0.752925 0
10.51,1.49529,0.747645,,10.51 0.747645 0
10.5478,1.48866,0.74433,,10.5478 0.74433 0
10.5703,1.48535,0.742675,,10.5703 0.742675 0
10.603,1.48164,0.74082,,10.603 0.74082 0
10.6307,1.47813,0.739065,,10.6307 0.739065 0
10.6787,1.4724,0.7362,,10.6787 0.7362 0
10.6788,1.47239,0.736195,,10.6788 0.736195 0
10.6793,1.47233,0.736165,,10.6793 0.736165 0
10.7382,1.46593,0.732965,,10.7382 0.732965 0
10.7615,1.46385,0.731925,,10.7615 0.731925 0
10.7648,1.4634,0.7317,,10.7648 0.7317 0
10.7881,1.46042,0.73021,,10.7881 0.73021 0
10.8062,1.4581,0.72905,,10.8062 0.72905 0
10.8233,1.45587,0.727935,,10.8233 0.727935 0
10.8429,1.45337,0.726685,,10.8429 0.726685 0
10.846,1.45294,0.72647,,10.846 0.72647 0
10.8844,1.44844,0.72422,,10.8844 0.72422 0
10.885,1.44834,0.72417,,10.885 0.72417 0
10.9381,1.44236,0.72118,,10.9381 0.72118 0
10.9419,1.44203,0.721015,,10.9419 0.721015 0
10.9549,1.4413,0.72065,,10.9549 0.72065 0
10.96,1.44056,0.72028,,10.96 0.72028 0
10.9601,1.44055,0.720275,,10.9601 0.720275 0
11.038,1.43625,0.718125,,11.038 0.718125 0
11.0802,1.43607,0.718035,,11.0802 0.718035 0
11.1147,1.43743,0.718715,,11.1147 0.718715 0
11.1256,1.43754,0.71877,,11.1256 0.71877 0
11.1268,1.43747,0.718735,,11.1268 0.718735 0
11.1431,1.4369,0.71845,,11.1431 0.71845 0
11.2016,1.43803,0.719015,,11.2016 0.719015 0
11.2169,1.43898,0.71949,,11.2169 0.71949 0
11.2255,1.43964,0.71982,,11.2255 0.71982 0
11.2294,1.43998,0.71999,,11.2294 0.71999 0
11.2478,1.44151,0.720755,,11.2478 0.720755 0
11.2533,1.44193,0.720965,,11.2533 0.720965 0
11.2534,1.44194,0.72097,,11.2534 0.72097 0
11.2777,1.44183,0.720915,,11.2777 0.720915 0
11.2922,1.44177,0.720885,,11.2922 0.720885 0
11.3269,1.44131,0.720655,,11.3269 0.720655 0
11.3945,1.44529,0.722645,,11.3945 0.722645 0
11.4137,1.44787,0.723935,,11.4137 0.723935 0
11.422,1.44895,0.724475,,11.422 0.724475 0
11.4551,1.45475,0.727375,,11.4551 0.727375 0
11.4618,1.45582,0.72791,,11.4618 0.72791 0
11.5099,1.46132,0.73066,,11.5099 0.73066 0
11.5144,1.46211,0.731055,,11.5144 0.731055 0
11.5331,1.46479,0.732395,,11.5331 0.732395 0
11.5834,1.47371,0.736855,,11.5834 0.736855 0
11.6092,1.47938,0.73969,,11.6092 0.73969 0
11.6636,1.49049,0.745245,,11.6636 0.745245 0
11.6896,1.49703,0.748515,,11.6896 0.748515 0
11.7166,1.5041,0.75205,,11.7166 0.75205 0
11.727,1.50672,0.75336,,11.727 0.75336 0
11.728,1.50694,0.75347,,11.728 0.75347 0
11.7446,1.51058,0.75529,,11.7446 0.75529 0
11.7573,1.51376,0.75688,,11.7573 0.75688 0
11.7885,1.52233,0.761165,,11.7885 0.761165 0
11.7887,1.52237,0.761185,,11.7887 0.761185 0
11.8224,1.5325,0.76625,,11.8224 0.76625 0
11.8346,1.53583,0.767915,,11.8346 0.767915 0
11.8348,1.5359,0.76795,,11.8348 0.76795 0
11.8546,1.54123,0.770615,,11.8546 0.770615 0
11.8547,1.54124,0.77062,,11.8547 0.77062 0
11.8683,1.54521,0.772605,,11.8683 0.772605 0
11.8683,1.54521,0.772605,,11.8683 0.772605 0
11.8714,1.54594,0.77297,,11.8714 0.77297 0
11.8715,1.54598,0.77299,,11.8715 0.77299 0
11.8902,1.55024,0.77512,,11.8902 0.77512 0
11.9059,1.55444,0.77722,,11.9059 0.77722 0
11.9062,1.55455,0.777275,,11.9062 0.777275 0
11.9335,1.56316,0.78158,,11.9335 0.78158 0
11.9336,1.5632,0.7816,,11.9336 0.7816 0
11.9579,1.5713,0.78565,,11.9579 0.78565 0
11.9579,1.57131,0.785655,,11.9579 0.785655 0
11.9607,1.57219,0.786095,,11.9607 0.786095 0
11.9658,1.57369,0.786845,,11.9658 0.786845 0
11.9733,1.57584,0.78792,,11.9733 0.78792 0
12.0243,1.5904,0.7952,,12.0243 0.7952 0
12.0278,1.59151,0.795755,,12.0278 0.795755 0
12.0281,1.59161,0.795805,,12.0281 0.795805 0
12.0465,1.59762,0.79881,,12.0465 0.79881 0
12.0521,1.59958,0.79979,,12.0521 0.79979 0
12.0769,1.60865,0.804325,,12.0769 0.804325 0
12.0769,1.60866,0.80433,,12.0769 0.80433 0
12.0791,1.60939,0.804695,,12.0791 0.804695 0
12.0833,1.6108,0.8054,,12.0833 0.8054 0
12.0934,1.61426,0.80713,,12.0934 0.80713 0
12.0958,1.61514,0.80757,,12.0958 0.80757 0
12.136,1.62994,0.81497,,12.136 0.81497 0
12.1405,1.63125,0.815625,,12.1405 0.815625 0
12.1634,1.6378,0.8189,,12.1634 0.8189 0
12.1705,1.63909,0.819545,,12.1705 0.819545 0
12.1742,1.63953,0.819765,,12.1742 0.819765 0
12.2235,1.64586,0.82293,,12.2235 0.82293 0
